기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,10,30,18,18,해당 정보 없음,20.88,17,해당 정보 없음,95.9,14,2024-03-12,2024-09-06,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,11,30,22,22,해당 정보 없음,20.88,18,해당 정보 없음,93.2,19,2024-03-12,2024-09-12,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,12,30,17,17,해당 정보 없음,20.88,22,해당 정보 없음,94,12,2024-04-09,2024-10-08,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,13,30,10,10,해당 정보 없음,20.88,17,해당 정보 없음,93.9,7,2024-05-21,2024-11-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,9,30,30,30,29,29.0,28,72.4,94.2,27,2023-07-11,2024-01-10,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,10,30,29,29,13,29.0,30,61.5,83.7,21,2023-07-25,2024-03-15,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,11,30,28,28,25,29.0,29,72.0,99.4,24,2023-09-19,2024-03-26,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,8,30,29,29,23,25.67,30,78.3,89,26,2023-07-25,2024-01-18,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,9,30,29,29,22,25.67,29,72.7,95.1,26,2023-07-26,2024-01-24,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,10,30,19,19,14,25.67,29,50.0,80,15,2023-08-17,2024-03-15,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,7,30,21,21,10,23.0,29,50.0,62.2,14,2023-08-22,2024-02-21,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,8,30,25,25,22,23.0,21,63.6,88,25,2024-01-23,2024-07-19,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,9,30,30,30,해당 정보 없음,23.0,25,해당 정보 없음,100,23,2024-02-19,2024-08-23,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,10,30,17,16,해당 정보 없음,23.0,30,해당 정보 없음,81.3,13,2024-04-02,2024-10-02,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,6,30,16,16,12,22.0,27,58.3,82.1,12,2023-08-22,2024-02-16,IT시스템관리(20010301),K-디지털 트레이닝,960,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부"
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,7,30,28,28,해당 정보 없음,22.0,16,해당 정보 없음,85.7,18,2024-02-20,2024-08-14,IT시스템관리(20010301),K-디지털 트레이닝,960,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부"
(주)솔데스크,(빅데이터 분석 및 UI 전문가)자바 스프링 기반 빅데이터 UI 전문가 양성과정 K,1,30,29,29,24,29.0,해당 정보 없음,58.3,95.1,26,2023-09-19,2024-03-05,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,848,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
